XTAB	dust_allergy	cao	Medium	130
XTAB	dust_allergy	thap	High	10
XTAB	dust_allergy	thap	Low	180
XTAB	dust_allergy	thap	Medium	41
XTAB	dust_allergy	trungbinh	High	80
XTAB	dust_allergy	trungbinh	Low	113
XTAB	dust_allergy	trungbinh	Medium	161
XTAB	fatigue	cao	High	148
XTAB	fatigue	thap	High	90
XTAB	fatigue	thap	Low	283
XTAB	fatigue	thap	Medium	160
XTAB	fatigue	trungbinh	High	127
XTAB	fatigue	trungbinh	Low	20
XTAB	fatigue	trungbinh	Medium	172
XTAB	frequent_cold	cao	High	29
XTAB	frequent_cold	cao	Medium	40
XTAB	frequent_cold	thap	High	98
XTAB	frequent_cold	thap	Low	263
XTAB	frequent_cold	thap	Medium	200
XTAB	frequent_cold	trungbinh	High	238
XTAB	frequent_cold	trungbinh	Low	40
XTAB	frequent_cold	trungbinh	Medium	92
XTAB	genetic_risk	cao	High	217
XTAB	genetic_risk	cao	Low	10
XTAB	genetic_risk	cao	Medium	100
XTAB	genetic_risk	thap	Low	253
XTAB	genetic_risk	thap	Medium	172
XTAB	genetic_risk	trungbinh	High	148
XTAB	genetic_risk	trungbinh	Low	40
XTAB	genetic_risk	trungbinh	Medium	60
XTAB	obesity	cao	High	326
XTAB	obesity	cao	Medium	30
XTAB	obesity	thap	High	19
XTAB	obesity	thap	Low	242
XTAB	obesity	thap	Medium	142
XTAB	obesity	trungbinh	High	20
XTAB	obesity	trungbinh	Low	61
XTAB	obesity	trungbinh	Medium	160
XTAB	occupational_hazards	cao	High	275
XTAB	occupational_hazards	cao	Low	20
XTAB	occupational_hazards	cao	Medium	100
XTAB	occupational_hazards	thap	High	10
XTAB	occupational_hazards	thap	Low	202
XTAB	occupational_hazards	thap	Medium	121
XTAB	occupational_hazards	trungbinh	High	80
XTAB	occupational_hazards	trungbinh	Low	81
XTAB	occupational_hazards	trungbinh	Medium	111
XTAB	passive_smoker	cao	High	295
XTAB	passive_smoker	thap	High	70
XTAB	passive_smoker	thap	Low	212
XTAB	passive_smoker	thap	Medium	202
XTAB	passive_smoker	trungbinh	Low	91
XTAB	passive_smoker	trungbinh	Medium	130
XTAB	shortness_of_breath	cao	High	109
XTAB	shortness_of_breath	cao	Low	10
XTAB	shortness_of_breath	cao	Medium	40
XTAB	shortness_of_breath	thap	High	79
XTAB	shortness_of_breath	thap	Low	263
XTAB	shortness_of_breath	thap	Medium	121
XTAB	shortness_of_breath	trungbinh	High	177
XTAB	shortness_of_breath	trungbinh	Low	30
XTAB	shortness_of_breath	trungbinh	Medium	171
XTAB	smoking	cao	High	266
XTAB	smoking	cao	Low	20
XTAB	smoking	cao	Medium	10
XTAB	smoking	thap	High	70
XTAB	smoking	thap	Low	213
